CARO:0000069	multilaminar epithelium				Epithelium that consists of more than one layer of epithelial cells.	
CARO:0000027	male organism				Gonochoristic organism that can produce male gametes.	
CARO:0000028	female organism				Gonochoristic organism that can produce female gametes.	
CARO:0000029	hermaphroditic organism				Multi-cellular organism that can produce both male and female gametes.	
CARO:0000021	simple organ				Multi-tissue structure that is not part of a compound organ.	
CARO:0000024	compound organ				Anatomical structure that has as its parts two or more multi-tissue structures of at least two different types and which through specific morphogenetic processes forms a single distinct structural unit demarcated by bona fide boundaries from other distinct anatomical structures of different types.	
CARO:0001001	neuron projection bundle				A fasciculated bundle of neuron projections (GO:0043005), largely or completely lacking synapses.	
CARO:0001000	multi-cell-component structure				A structure consisting of multiple cell components but which is not itself a cell and does not have (complete) cells as a part.	
CARO:0000062	cell space				Anatomical space that is part of a cell.	
CARO:0000063	portion of cell substance				Portion of organism substance located within a cell.	
CARO:0000064	single cell organism				Cell that is an individual member of a species.	
CARO:0000065	basal lamina				Acellular anatomical structure that consists of a thin sheet of fibrous proteins that underlie and support the cells of an epithelium. It separates the cells of an epithelium from any underlying tissue.	
CARO:0000066	epithelium				Portion of tissue, that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina.	
CARO:0000067	simple cuboidal epithelium				Unilaminar epithelium that consists of a single layer of cuboidal cells.	
CARO:0000068	simple columnar epithlium				Unilaminar epithelium that consists of a single layer of columnar cells.	
CARO:0000014	cell component				Anatomical structure that is a direct part of the cell.	
CARO:0000019	compound organ component				Multi-tissue structure that is part of a compound organ.	
CARO:0000013	cell				Anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.	
CARO:0000012	multi-cellular organism				Anatomical structure that is an individual member of a species and consists of more than one cell.	
CARO:0000011	anatomical system				Anatomical group that is has as its parts distinct anatomical structures interconnected by anatomical structures at a lower level of granularity.	
CARO:0000010	anatomical surface				Non-material anatomical entity of two dimensions, that is demarcated by anatomical lines or points on the external or internal surfaces of anatomical structures.	
CARO:0000050	protogynous hermaphroditic organism				Sequential hermaphroditic organism that produces\ngametes first of the female sex, and then later of the\nmale sex.	
CARO:0000054	anatomical group				Anatomical structure consisting of at least two non-overlapping organs, multi-tissue aggregates or portion of tissues or cells of different types that does not constitute an organism, organ, multi-tissue aggregate, or portion of tissue.	
CARO:0000055	multi-tissue structure				Anatomical structure that has as its parts two or more portions of tissue of at least two different types and which through specific morphogenetic processes forms a single distinct structural unit demarcated by bona-fide boundaries from other distinct structural units of different types.	
CARO:0000048	gonochoristic organism				Multi-cellular organism that has male and female sexes.	
CARO:0000049	protandrous hermaphroditic organism				Sequential hermaphroditic organism that produces\ngametes first of the male sex, and then later of the\nfemale sex.	
CARO:0000007	immaterial anatomical entity				Anatomical entity that has no mass.	
CARO:0000008	anatomical line				Non-material anatomical entity of one dimension, which forms a boundary of an anatomical surface or is a modulation of an anatomical surface.	
CARO:0000009	anatomical point				Non-material anatomical entity of zero dimension, which forms a boundary of an anatomical line or surface.	
CARO:0000003	anatomical structure				Material anatomical entity that has inherent 3D shape and is generated by coordinated expression of the organism's own genome.	
CARO:0000004	portion of organism substance				Material anatomical entity in a gaseous, liquid, semisolid or solid state; produced by anatomical structures or derived from inhaled and ingested substances that have been modified by anatomical structures as they pass through the body.	
CARO:0000005	anatomical space				Non-material anatomical entity of three dimensions, that is generated by morphogenetic or other physiologic processes; is surrounded by one or more anatomical structures; contains one or more organism substances or anatomical structures.	
CARO:0000006	material anatomical entity				Anatomical entity that has mass.	
CARO:0000000	anatomical entity				Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.	
CARO:0000043	portion of tissue				Anatomical structure, that consists of similar cells and intercellular matrix, aggregated according to genetically determined spatial relationships.	
CARO:0000045	sequential hermaphroditic organism				Hermaphroditic organism that produces gametes first of one sex, and then later of the other sex.	
CARO:0000046	synchronous hermaphroditic organism				Hermaphroditic organism that produces both male and female gametes at the same time.	
CARO:0000040	acellular anatomical structure				Anatomical structure that consists of cell parts and cell substances and together does not constitute a cell or a tissue.	
CARO:0000041	anatomical cluster				Anatomical group that has its parts adjacent to one another.	
CARO:0000042	extraembryonic structure				Anatomical structure that is contiguous with the embryo and is comprised of portions of tissue or cells that will not contribute to the embryo.	
CARO:0000077	epithelial cell				Cell which has as its part a cytoskeleton that allows for tight cell to cell contact and which has apical-basal cell polarity.	
CARO:0000073	unilaminar epithelium				Epithelium that consists of a single layer of epithelial cells.	
CARO:0000072	cavitated compound organ				Compound organ that contains one or more macroscopic anatomical spaces.	
CARO:0000074	solid compound organ				Compound organ that does not contain macroscopic anatomical spaces.	
CARO:0000071	atypical epithelium				Epithelium that consists of epithelial cells not arranged in one ore more layers.	
CARO:0000070	simple squamous epithelium				Unilaminar epithelium that consists of a single layer of squamous cells.	
CARO:0000032	organism subdivision				Anatomical structure which is a primary subdivision of whole organism. The mereological sum of these is the whole organism.	
CARO:0000030	asexual organism				Multi-cellular organism that does not produce gametes.	
